dt,betap_1,betap_2,betap_3,bbp_1,bbp_2,bbp_3,betap_sd_1,betap_sd_2,betap_sd_3,betap_n,gamma_bbp,poc_1,poc_2,poc_3,cphyto_1,cphyto_2,cphyto_3
739108,0.000360870011314654,0.000484142234144182,0.00035640992206073,0.00243973655251391,0.00327314398044397,0.0024095831941325,2.37000770798255e-05,2.49373113307578e-05,2.64862568269694e-05,20,0.178405895249315,60.5170912434921,88.1097461908975,76.2182190286777,30.1791249088887,44.3149218513747,38.2228580894205
739108.000694444,0.000358974048936789,0.000483426842617823,0.000345772331971421,0.00242691850565371,0.0032683074276646,0.00233766556019833,2.24575612060519e-05,3.08397764090273e-05,2.76253874128517e-05,40,0.244665923128728,60.2136432743641,87.9836293580832,74.0257480160872,30.0236676365682,44.2503118331257,37.0996488478546
739108.001388889,0.000334314517327418,0.000453070425446785,0.000320253434189202,0.00226020262805535,0.00306307657374649,0.00216513975936403,2.75880521969811e-05,3.8294712743224e-05,2.56191008394683e-05,39,0.261300486650473,56.2668957682592,82.6320770288529,68.7661503825027,28.0017374730553,41.5086960952678,34.4051417665589
739108.002083333,0.000380613299180322,0.000514017259561452,0.000366521901792201,0.00257321514470059,0.00347512028557463,0.00247794733023589,2.82805761077401e-05,3.63848558817603e-05,2.68110089649908e-05,40,0.246487991379939,63.6769960373254,93.3764336578934,78.3023585992964,31.7979532749288,47.0130610748347,39.290568819911
739108.002777778,0.000412975861802456,0.000567633868035092,0.000392694311702891,0.00279200896099639,0.00383760648673727,0.00265489133534696,2.80069728794545e-05,3.17365651595807e-05,3.3322191275077e-05,40,0.285471482752511,68.856610368343,102.828540088829,83.6966489956235,34.4514846789643,51.8554025400238,42.0540793931642
739108.003472222,0.000401832199423855,0.00055350887650508,0.00038737372161298,0.00271666992039586,0.00374211155210921,0.00261892038260414,2.50734285462388e-05,3.27016134672776e-05,3.033476071342e-05,40,0.251766229296559,67.0730719622482,100.338436237084,82.6000435197526,33.537772794561,50.5797151340431,41.4922852358975
739108.004166667,0.000411075512045989,0.000569786684978721,0.000402605381523671,0.00277916125235326,0.00385216105215851,0.00272189717833232,2.87061097652402e-05,3.88776409524263e-05,3.64093923712953e-05,40,0.214405331080583,68.552460201143,103.208061573996,85.7393798306514,34.2956676685404,52.0498324946566,43.100576308635
739108.004861111,0.000450584024668123,0.000606233651347099,0.000430004791434362,0.00304626674562639,0.00409856832704743,0.00290713657141155,2.24014909397115e-05,3.24616708535396e-05,3.20942862234418e-05,40,0.268011100676642,74.8757807788166,109.63332074286,91.3865622739424,37.5351230909568,55.3415113522016,45.9936442090488
739108.005555556,0.000451630512289522,0.00061263070192235,0.000428774201344451,0.00305334174222247,0.00414181691414909,0.00289881691189598,2.05062390955874e-05,2.72684416231832e-05,2.40731099543375e-05,40,0.284299874654185,75.0432706758411,110.761060907758,91.1329302879512,37.6209286496741,55.9192559007155,45.8637078089842
739108.00625,0.000453275190296272,0.000617959115524195,0.000438943175357706,0.00306446092897774,0.00417784075936686,0.00296756636966146,2.10391901647355e-05,2.9598175535117e-05,2.51534040680666e-05,39,0.23613920487785,75.3065006886536,111.700410372532,93.228816721313,37.755782146642,56.4004873486274,46.9374364912363
739108.006944444,0.000465283112533055,0.000632817118865978,0.000465065771165231,0.00314564297758881,0.0042782913723681,0.00314417359619709,2.47097670011745e-05,3.47921563537293e-05,4.1023189019752e-05,40,0.153658595161184,77.2283635160691,114.319737348552,98.6128401327033,38.7403580321971,57.7423761349576,49.6956872584087
739108.007638889,0.000466119425155189,0.000643546127339619,0.000458211431075921,0.00315129704251406,0.00435082705924885,0.00309783340849813,2.0606786483041e-05,4.12372794452824e-05,3.11869653794893e-05,40,0.203269881220409,77.362214994192,116.211161160656,97.2001195982516,38.8089305316105,58.7113580249221,48.9719464422547
739108.008333333,0.000467165912777323,0.00063554793581326,0.000464956340986612,0.00315837203911512,0.00429675362668576,0.00314343377077976,2.39662312363502e-05,3.44410114534742e-05,2.57204578817383e-05,40,0.164859159558058,77.5297048913342,114.80115482653,98.59028591765,38.8947360903882,57.9890077014463,49.6841326687978
739108.009722222,0.000470519938020857,0.000625100352756888,0.000455439910807392,0.00318104762236708,0.00422612057470343,0.00307909597093569,2.44010165005806e-05,2.64612764482972e-05,2.87516005703383e-05,40,0.226467529149861,78.0665151996167,112.959343682444,96.6288926757493,39.169745564068,57.0454425248136,48.6793052375586
739108.010416667,0.000472649635258375,0.000636324366358734,0.000464405480974493,0.00319544588222036,0.00430200284641278,0.00313970956742468,2.17354186179777e-05,2.77554221503777e-05,2.70292111240946e-05,39,0.193401481724237,78.4073723332429,114.938032267326,98.4767503707426,39.3443676595685,58.0591304102901,49.6259680797108
739108.011111111,0.00048101991326439,0.000650373169700517,0.000460545230628172,0.00325203488259637,0.00439698269499361,0.00311361154437903,2.53304009450629e-05,4.17075029296456e-05,2.68785310925982e-05,40,0.261762479638092,79.7470317545552,117.414704854312,97.6811296601686,40.0306790561287,59.3279369404839,49.2183692883169
739108.011805556,0.000488581825886524,0.000648848578174157,0.000467187890538863,0.00330315876114734,0.00438667537779382,0.00315852062432998,3.11333774635634e-05,2.97296380882325e-05,2.73582522567548e-05,40,0.257849482969854,80.9573126412957,117.145933632464,99.05022164232,40.6507094551949,59.1902446660986,49.9197590709299
739108.0125,0.000486685863508658,0.000651023186647798,0.000469024800449553,0.00329034071428714,0.00440137726937306,0.00317093943473892,3.77110880570923e-05,3.14676313398213e-05,3.82698346086044e-05,40,0.240697351842481,80.6538646721676,117.529296760487,99.4288197738626,40.4952521828744,59.3866427054792,50.1137159888305
739108.013194444,0.000482267801130057,0.000657706195117786,0.000468407710359642,0.00326047148731233,0.00444655913412705,0.00316676746920744,4.82637148464532e-05,3.45472846273048e-05,4.07206249997814e-05,40,0.228678317278733,79.9467556746904,118.707448626774,99.3016338113535,40.1329981981239,59.9902133144323,50.0485582523462
